"lat","lon","FIPS"
33.923952,-118.245687,"06037"
36.97756,-122.055836,"06087"
39.739206,-104.941874,"08031"
32.894055,-117.202589,"06073"
37.457187,-122.175213,"06081"
34.092479,-117.722006,"06037"
34.43213,-119.811764,"06083"
40.13994,-105.257497,"08013"
33.025787,-117.21755,"06073"
32.887458,-117.182927,"06073"
32.8863,-117.243929,"06073"
37.791185,-122.43391,"06075"
39.16869,-75.545247,"10001"
40.013296,-105.251932,"08013"
39.727302,-104.991569,"08031"
33.019648,-117.197359,"06073"
38.90983,-77.036184,"11001"
37.72091,-122.476074,"06075"
37.929887,-122.305288,"06013"
38.902811,-77.020782,"11001"
35.143199,-90.050426,"47157"
34.072514,-118.371028,"06037"
37.600555,-122.37358,"06081"
37.386268,-122.051359,"06085"
41.557395,-72.655179,"09130"
37.351306,-120.4324,"06047"
34.029482,-118.023269,"06037"
38.905386,-77.030988,"11001"
39.679205,-75.73119,"10003"
37.654526,-122.399747,"06081"
34.098065,-118.29069,"06037"
33.8781,-117.884245,"06059"
37.603956,-122.394094,"06081"
37.803785,-122.275259,"06001"
32.90309,-117.180921,"06073"
32.857276,-117.226237,"06073"
37.400877,-122.138324,"06085"
41.291635,-72.689631,"09170"
38.553853,-121.421265,"06067"
42.027222,-87.678067,"17031"
33.860473,-117.795983,"06059"
32.887742,-117.223797,"06073"
33.838148,-117.600411,"06065"
32.870705,-117.225305,"06073"
32.8572,-117.189598,"06073"
37.80342,-122.269799,"06001"
32.885478,-117.170654,"06073"
33.700942,-117.756405,"06059"
34.153753,-118.763422,"06037"
38.905784,-76.994932,"11001"
37.435907,-122.191259,"06081"
41.164233,-73.255844,"09120"
32.856071,-117.227467,"06073"
38.91289,-77.039938,"11001"
37.781538,-122.504847,"06075"
32.85078,-117.250436,"06073"
33.866635,-118.048458,"06037"
37.871398,-122.268005,"06001"
39.189379,-75.541169,"10001"
34.127505,-118.212852,"06037"
36.815106,-119.745116,"06019"
33.831471,-118.295432,"06037"
34.049754,-117.815697,"06037"
38.542974,-121.744084,"06113"
37.594964,-122.363634,"06081"
