New119Fips,NAMELSAD,lat,lon
616,Congressional District 16,37.429228999999999,-122.24973
631,Congressional District 31,34.074939999999998,-117.932436
649,Congressional District 49,33.546399999999998,-117.646121
612,Congressional District 12,37.838270000000001,-122.287044
807,Congressional District 7,39.741709999999998,-105.155318
615,Congressional District 15,37.652366000000001,-122.430543
611,Congressional District 11,37.797991000000003,-122.445591
605,Congressional District 5,38.694102000000001,-121.102001
627,Congressional District 27,34.655110000000001,-118.14838
640,Congressional District 40,33.787683999999999,-117.842309
4807,Congressional District 7,29.743824000000000,-95.46889
637,Congressional District 37,33.983508000000000,-118.387763
1198,Delegate District (at Large),38.905957000000001,-77.045788
624,Congressional District 24,34.437023000000003,-119.632891
802,Congressional District 2,40.060000000000002,-106.4
604,Congressional District 4,38.325375999999999,-122.291992
650,Congressional District 50,32.906149999999997,-117.227647
636,Congressional District 36,34.040675999999998,-118.471822
1198,Delegate District (at Large),38.905321999999998,-77.041313
1000,Congressional District (at Large),39.786757999999999,-75.549829
807,Congressional District 7,39.751130000000003,-105.222306
611,Congressional District 11,37.784471000000003,-122.397182
612,Congressional District 12,37.816305000000000,-122.217796
641,Congressional District 41,33.848635000000002,-117.587998
649,Congressional District 49,33.007274000000002,-117.259788
804,Congressional District 4,39.483595000000001,-105.083796
616,Congressional District 16,37.285997000000002,-121.854284
1198,Delegate District (at Large),38.909421999999999,-77.035949
901,Congressional District 1,41.753881999999997,-72.682221
628,Congressional District 28,34.149661999999999,-118.103359
616,Congressional District 16,37.387354999999999,-122.048386
638,Congressional District 38,33.921083000000003,-117.983317
636,Congressional District 36,33.969676999999997,-118.416139
650,Congressional District 50,33.137990000000002,-117.151093
615,Congressional District 15,37.490135000000002,-122.231699
901,Congressional District 1,41.745367000000002,-72.690372
647,Congressional District 47,33.648792000000000,-117.733962
617,Congressional District 17,37.381650000000000,-121.98739
616,Congressional District 16,37.450921999999998,-122.18522
1198,Delegate District (at Large),38.936948999999998,-77.089471
632,Congressional District 32,34.044040000000003,-118.46381
609,Congressional District 9,37.984344999999998,-121.309964
808,Congressional District 8,40.406317999999999,-104.685634
642,Congressional District 42,33.781103999999999,-118.109903
633,Congressional District 33,34.176782000000003,-117.330185
624,Congressional District 24,35.299317000000002,-120.656618
905,Congressional District 5,41.562986000000002,-72.881929
607,Congressional District 7,38.566110999999999,-121.458513
1198,Delegate District (at Large),38.904567000000000,-77.031637
650,Congressional District 50,32.847994000000000,-117.274739
617,Congressional District 17,37.509276000000000,-121.998181
640,Congressional District 40,33.617050999999996,-117.71995
615,Congressional District 15,37.586207000000002,-122.388145
632,Congressional District 32,34.237310000000001,-118.55834
650,Congressional District 50,32.926312000000003,-117.200624
649,Congressional District 49,33.430039000000001,-117.616549
650,Congressional District 50,32.859822999999999,-117.19263
612,Congressional District 12,37.887821000000002,-122.266362
650,Congressional District 50,32.900489999999998,-117.236754
902,Congressional District 2,41.298225000000002,-72.619173
628,Congressional District 28,34.137044000000003,-118.09741
801,Congressional District 1,39.767029999999998,-104.882434
651,Congressional District 51,32.899178999999997,-117.196665
624,Congressional District 24,34.441285999999998,-119.800388
612,Congressional District 12,37.807986000000000,-122.254894
903,Congressional District 3,41.323709000000001,-72.927779
904,Congressional District 4,41.139578999999998,-73.364776
651,Congressional District 51,32.894418000000002,-117.193011
904,Congressional District 4,41.220385999999998,-73.330183
801,Congressional District 1,39.746406000000000,-105.00767
644,Congressional District 44,33.867140999999997,-118.255341
612,Congressional District 12,37.858708000000000,-122.290405
617,Congressional District 17,37.391756999999998,-122.044139
616,Congressional District 16,37.353937999999999,-122.082379
1198,Delegate District (at Large),38.912700000000001,-77.031423
650,Congressional District 50,32.721739999999997,-117.236798
614,Congressional District 14,37.687106000000000,-121.705877
636,Congressional District 36,34.050821999999997,-118.429915
624,Congressional District 24,34.436061000000002,-119.848233
3610,Congressional District 10,40.730918000000003,-73.993819
650,Congressional District 50,32.953442000000003,-117.230733
628,Congressional District 28,34.149662999999997,-118.103145
1224,Congressional District 24,25.826087000000001,-80.13054
650,Congressional District 50,32.875200999999997,-117.231672
636,Congressional District 36,34.041486999999996,-118.428125
2607,Congressional District 7,42.742235000000001,-84.401235
650,Congressional District 50,33.102266000000000,-117.196363
616,Congressional District 16,37.436284000000001,-122.125986
902,Congressional District 2,41.829935999999996,-72.279191
650,Congressional District 50,32.840955999999998,-117.272734
634,Congressional District 34,34.061864000000000,-118.20266
648,Congressional District 48,33.252896999999997,-117.036867
903,Congressional District 3,41.327047999999998,-72.940381
619,Congressional District 19,36.972369000000000,-122.025938
611,Congressional District 11,37.745468000000002,-122.428085
1198,Delegate District (at Large),38.905411000000001,-77.03901
628,Congressional District 28,34.148384000000000,-118.12215
1198,Delegate District (at Large),38.907152000000004,-77.039651
649,Congressional District 49,33.133012999999998,-117.250306
615,Congressional District 15,37.527185000000003,-122.289042
628,Congressional District 28,34.079523999999999,-118.102152
626,Congressional District 26,34.144348999999998,-118.712809
636,Congressional District 36,34.047480000000000,-118.43195
651,Congressional District 51,32.902501999999998,-117.153463
617,Congressional District 17,37.493243000000000,-121.926283
616,Congressional District 16,37.396850000000001,-122.1965
649,Congressional District 49,33.488810000000001,-117.698271
650,Congressional District 50,33.021399000000002,-117.094325
611,Congressional District 11,37.732197999999997,-122.440144
5307,Congressional District 7,47.619407000000002,-122.317217
611,Congressional District 11,37.779133999999999,-122.392065
644,Congressional District 44,33.868096000000001,-118.216478
612,Congressional District 12,37.857489999999999,-122.287559
650,Congressional District 50,32.888092999999998,-117.222375
650,Congressional District 50,32.717339000000003,-117.168759
616,Congressional District 16,37.438575000000000,-122.158339
636,Congressional District 36,34.064186999999997,-118.405313
615,Congressional District 15,37.632299000000003,-122.428481
804,Congressional District 4,39.545014999999999,-104.887038
902,Congressional District 2,41.290357999999998,-72.63544
651,Congressional District 51,32.904648999999999,-117.215461
636,Congressional District 36,34.066901999999999,-118.375919
1198,Delegate District (at Large),38.906447999999997,-77.036937
904,Congressional District 4,41.080348000000001,-73.46711
650,Congressional District 50,32.877240999999998,-117.220953
619,Congressional District 19,37.063724000000001,-122.000038
636,Congressional District 36,34.043908999999999,-118.449386
616,Congressional District 16,37.417392000000000,-122.096487
1000,Congressional District (at Large),39.766202999999997,-75.726454
636,Congressional District 36,34.014578000000000,-118.465765
612,Congressional District 12,37.697662000000001,-122.165039
2901,Congressional District 1,38.636980000000001,-90.259091
