"","GEOID","h_county","commuters"
"347",24003701104,13055,1
"348",24031704804,13057,3
"349",24510260605,13057,2
"350",24031701007,13059,1
"351",24033801003,13063,1
"352",24510060400,13067,1
"353",11001010100,13073,2
"354",24027605105,13073,1
"355",24027606706,13073,1
"356",24027605105,13075,1
"357",11001010100,13077,1
"358",24031702503,13089,2
"359",24033801003,13089,1
"360",51013101408,13089,1
"361",24027605105,13095,1
"362",11001010100,13103,1
"363",11001010100,13105,1
"364",11001010100,13113,1
"365",24005408704,13121,1
"366",24005421000,13121,1
"367",24031701007,13121,1
"368",24031701205,13121,7
"369",24031704804,13123,1
"370",11001010100,13127,1
"371",11001010100,13133,1
"372",24005440600,13135,4
"373",24031704804,13137,1
"374",24031704804,13139,1
"375",11001010100,13153,2
"376",24031701007,13157,1
"377",24027606706,13181,1
"378",11001010100,13183,1
"379",24031701007,13195,1
"380",24031704804,13195,1
"381",11001010100,13245,3
"382",24027606706,13245,1
"383",24031704600,13245,1
"384",24027605105,13263,1
"385",24027605105,13269,1
"386",24027605105,13273,1
"387",24031704804,13281,1
"388",24027605105,13285,1
"389",24003701104,13295,1
"390",24031700313,13311,1
"391",24003701104,13313,1
"392",24027605105,13321,1
"393",24005440600,15003,1
"394",51013101408,15003,1
"395",24005440600,17007,1
"396",11001010100,17031,14
"397",24031701007,17031,1
"398",24031704804,17031,5
"399",11001010100,17097,15
"400",24003702402,17097,3
"401",24013507602,17097,1
"402",24031701007,17097,1
"403",24510260501,17097,1
"404",24013513001,17101,1
"405",24003702402,17113,2
"406",24003702402,17143,2
"407",24033800212,17143,2
"408",24005440600,17201,2
"409",24003702402,17203,1
"410",24017851502,18003,1
"411",24510060400,18003,1
"412",24027606706,18011,2
"413",24031701205,18011,2
"414",24510260605,18019,1
"415",24510260605,18029,1
"416",24027606706,18039,1
"417",24031701205,18039,3
"418",24031701002,18043,1
"419",11001010100,18057,2
"420",24021752206,18057,1
"421",24027605105,18057,2
"422",24027606706,18057,1
"423",24031701205,18057,2
"424",24027605105,18059,1
"425",24031700313,18059,1
"426",24031701205,18059,1
"427",24031701002,18061,1
"428",24003701104,18069,1
"429",24013507602,18085,1
"430",24031701205,18085,1
"431",24003701104,18089,1
"432",11001010100,18095,2
"433",24031701205,18095,1
"434",11001010100,18097,2
"435",24013513001,18097,4
"436",24027605404,18097,1
"437",24510260605,18097,1
"438",24031701205,18099,2
"439",11001010100,18117,1
"440",24031701205,18145,1
"441",24031704804,19113,1
"442",24031700313,19155,1
"443",24031704804,19171,1
"444",24003702402,20091,8
"445",24510060400,20209,1
"446",24003740205,21009,1
"447",11001010100,21015,1
"448",11001010100,21027,1
"449",24027605404,21029,1
"450",24027605105,21035,1
"451",24003702402,21049,1
"452",24027605105,21059,1
"453",24003702402,21067,1
"454",24027605404,21067,1
"455",24031701007,21067,1
"456",11001010100,21093,1
"457",24027605404,21093,1
"458",11001010100,21111,6
"459",24003741000,21111,3
"460",24027605404,21111,3
"461",24031701007,21111,2
"462",24510060400,21111,2
"463",24510260605,21115,1
"464",24027605404,21133,1
"465",24510260605,21141,1
"466",11001010100,21155,1
"467",11001010100,21163,1
"468",11001010100,21179,1
"469",24031701205,21179,1
"470",24510260605,21193,1
"471",24027605404,21211,1
"472",11001010100,21215,1
"473",24027605105,21225,1
"474",24003740205,21227,1
"475",11001010100,21229,1
"476",24031701007,22017,1
"477",24005440600,22031,1
"478",24027606706,22033,1
"479",24031702503,22055,1
"480",24005408704,22071,1
"481",24021752206,22071,1
"482",11001000904,22087,1
"483",24031705602,22099,1
"484",11001010100,23001,3
"485",11001010100,23005,9
"486",24027605404,23005,1
"487",24510260501,23005,2
"488",51059470600,23005,1
