"","GEOID","h_county","commuters"
"622",6037920330,6029,64
"623",6037980013,6029,303
"624",6059052513,6029,3
"625",6059062647,6029,7
"626",6059099232,6029,15
"627",6079011505,6029,203
"628",6079012505,6029,26
"629",6083000302,6029,10
"630",6083000400,6029,22
"631",6083001404,6029,30
"632",6083002211,6029,103
"633",6083003001,6029,100
"634",6111001510,6029,55
"635",6111005906,6029,113
"636",6111005907,6029,20
"637",6111006600,6029,7
"638",6111007000,6029,47
"639",6111008501,6029,13
"640",6111008502,6029,45
"641",6037108204,6031,2
"642",6037120300,6031,3
"643",6037135116,6031,10
"644",6037141400,6031,4
"645",6037143200,6031,1
"646",6037207711,6031,11
"647",6037216302,6031,2
"648",6037224010,6031,1
"649",6037224020,6031,3
"650",6037264305,6031,2
"651",6037265204,6031,6
"652",6037265301,6031,3
"653",6037267700,6031,4
"654",6037267901,6031,12
"655",6037275313,6031,1
"656",6037311601,6031,3
"657",6037463900,6031,1
"658",6037620400,6031,4
"659",6037651101,6031,11
"660",6037670417,6031,3
"661",6037700801,6031,12
"662",6037700802,6031,1
"663",6037701502,6031,1
"664",6037701701,6031,1
"665",6037702900,6031,7
"666",6037703003,6031,49
"667",6037800324,6031,2
"668",6037800337,6031,2
"669",6037800504,6031,3
"670",6037920328,6031,1
"671",6037920330,6031,1
"672",6037980013,6031,17
"673",6059099232,6031,2
"674",6079011505,6031,22
"675",6079012505,6031,11
"676",6083000400,6031,2
"677",6083001404,6031,1
"678",6083002211,6031,6
"679",6083003001,6031,33
"680",6111001510,6031,2
"681",6111005906,6031,11
"682",6111005907,6031,1
"683",6111006600,6031,1
"684",6111007000,6031,1
"685",6111008501,6031,2
"686",6111008502,6031,4
"687",6037207711,6033,3
"688",6037216302,6033,1
"689",6037267700,6033,1
"690",6037267901,6033,1
"691",6037311601,6033,4
"692",6037311602,6033,1
"693",6037650606,6033,1
"694",6037703003,6033,22
"695",6037800337,6033,2
"696",6037920328,6033,2
"697",6037980013,6033,3
"698",6059099232,6033,1
"699",6079011505,6033,5
"700",6083002211,6033,1
"701",6083003001,6033,2
"702",6111001510,6033,1
"703",6037267901,6035,3
"704",6037703003,6035,12
"705",6079011505,6035,1
"706",6083001404,6035,1
"707",6111005906,6035,1
"708",6037108202,6037,282
"709",6037108204,6037,1137
"710",6037119202,6037,216
"711",6037120300,6037,1826
"712",6037134422,6037,1845
"713",6037135116,6037,4855
"714",6037141400,6037,7234
"715",6037143200,6037,1157
"716",6037191810,6037,1434
"717",6037207305,6037,5486
"718",6037207711,6037,23889
"719",6037212303,6037,2010
"720",6037214000,6037,2292
"721",6037216302,6037,6233
"722",6037219901,6037,445
"723",6037224010,6037,4717
"724",6037224020,6037,5519
"725",6037264305,6037,1136
"726",6037265204,6037,3564
"727",6037265301,6037,8543
"728",6037265307,6037,737
"729",6037267300,6037,1003
"730",6037267700,6037,6745
"731",6037267901,6037,36403
"732",6037269000,6037,1348
"733",6037271600,6037,479
"734",6037275313,6037,2127
"735",6037311601,6037,23282
"736",6037311602,6037,3049
"737",6037431701,6037,1221
"738",6037461700,6037,1229
"739",6037463900,6037,6342
"740",6037464000,6037,3552
"741",6037481606,6037,2187
"742",6037620303,6037,1223
"743",6037620400,6037,6322
"744",6037620802,6037,1745
"745",6037621201,6037,1424
"746",6037650606,6037,5757
"747",6037651101,6037,19225
"748",6037670417,6037,2340
"749",6037700801,6037,19092
"750",6037700802,6037,5684
"751",6037701000,6037,6806
"752",6037701501,6037,1630
"753",6037701502,6037,2551
"754",6037701601,6037,1939
"755",6037701602,6037,4665
"756",6037701701,6037,5300
"757",6037701802,6037,3332
