"HomeCounty","AllCommutes","sum(CNS01)","sum(CNS02)","sum(CNS03)","sum(CNS04)","sum(CNS05)","sum(CNS06)","sum(CNS07)","sum(CNS08)","sum(CNS09)","sum(CNS10)","sum(CNS11)","sum(CNS12)","sum(CNS13)","sum(CNS14)","sum(CNS15)","sum(CNS16)","sum(CNS17)","sum(CNS18)","sum(CNS19)","sum(CNS20)"
17069,1292,9,100,27,44,78,49,162,91,10,40,11,41,5,28,91,308,9,59,22,108
17071,2786,35,12,6,156,459,149,361,119,34,110,13,94,23,92,257,410,39,162,69,186
17073,22525,268,22,147,1503,3085,1192,2723,921,347,799,137,783,612,821,2142,2976,339,1609,683,1416
17075,12620,225,19,82,655,1401,848,1683,556,175,532,100,344,69,444,1294,2242,89,957,363,542
17077,19869,103,195,117,758,1639,465,2413,725,275,550,219,585,274,680,3333,3298,198,2114,531,1397
17079,4417,137,34,120,250,627,274,527,252,60,164,25,123,11,121,426,501,43,298,183,241
17081,16800,79,133,98,523,2566,650,2203,1366,159,521,116,516,66,850,1338,2765,101,1454,473,823
17083,9763,96,23,59,637,973,483,1206,462,125,361,91,468,128,353,1017,1656,114,856,289,366
17085,9513,110,14,109,571,1186,475,1200,390,119,465,89,325,104,361,764,1147,165,1112,392,415
17087,4539,33,75,75,233,393,129,582,190,39,177,38,166,24,153,434,836,53,367,131,411
17089,245673,596,172,830,11314,29722,16679,27552,9364,4271,11019,2813,16536,4666,20925,21461,27257,5305,20031,8005,7155
17091,49925,405,44,301,2192,5972,2686,5711,2733,577,1684,444,1985,360,3033,4744,8936,679,4150,1620,1669
17093,66225,119,68,489,3276,6210,4291,8171,2981,1192,2980,756,4394,1087,4246,6769,7935,1393,5125,2369,2374
17095,22115,277,14,121,778,2096,1046,3544,904,409,625,243,610,256,1063,2090,3599,282,2023,743,1392
17097,328803,490,86,951,11505,40803,21325,36855,9414,6332,16254,4356,27150,9385,24678,29546,37049,8550,25286,10472,8316
17099,52230,605,548,656,2793,6916,2406,6727,2687,670,1766,554,1748,381,2711,4638,6914,628,4452,1928,2502
