"","FIPS","GEOID"
"487","17031","1710"
"488","24003","2403"
"489","48029",NA
"490","48121",NA
"491","08015","0807"
"492","48029","4821"
"493","02090","0200"
"494","08041","0805"
"495","21195","2105"
"496","49005","4901"
"497","34029","3402"
"498","36027","3618"
"499","26077","2604"
"500","06065","0641"
"501","26055","2601"
"502","06087","0619"
"503","06083",NA
"504","55133","5505"
"505","20209",NA
"506","13135","1313"
"507","45013","4501"
"508","06037","0645"
"509","34005","3403"
"510","06079","0624"
"511","34021","3403"
"512","48113","4832"
"513","53061",NA
"514","23001","2302"
"515","54055","5401"
"516","42119","4215"
"517","26073","2602"
"518","06029","0620"
"519","29183","2902"
"520","12071","1219"
"521","51071","5109"
"522","53053","5306"
"523","48491","4831"
"524","13067","1306"
"525","06023","0602"
"526","39103","3907"
"527","16005","1602"
"528","36103","3602"
"529","47037","4705"
"530","28049","2802"
"531","10005","1000"
"532","34039","3410"
"533","18059","1806"
"534","48201",NA
"535","41039",NA
"536","27163","2704"
"537","06061","0603"
"538","13097","1306"
"539","50001","5000"
"540","18097","1806"
"541","20209","2003"
"542","24013","2403"
"543","50015","5000"
"544","06111",NA
"545","06095","0604"
"546","49035","4902"
"547","34027","3407"
"548","49011","4902"
"549","06085","0618"
"550","08123","0804"
"551","08069",NA
"552","46011","4600"
"553","37119","3714"
"554","12099","1222"
"555","19167","1904"
"556","06013",NA
"557","48273","4834"
"558","06095","0608"
"559","36033","3621"
"560","16057","1601"
"561","22055","2203"
"562","25005","2509"
"563","28071","2801"
"564","37021","3711"
"565","28035","2804"
"566","48423","4801"
"567","48423",NA
"568","55139","5506"
"569","05143",NA
"570","41067","4106"
"571","21227","2102"
"572","25003","2501"
"573","25027","2503"
"574","49035","4903"
"575","26121","2603"
"576","25017","2502"
"577","41017","4105"
"578","45007","4503"
"579","01125","0104"
"580","13095","1302"
"581","24031","2404"
"582","12095","1211"
"583","06055","0604"
"584","04013","0405"
"585","37189","3705"
"586","51087","5101"
"587","17197","1711"
"588","05131","0503"
"589","05031","0501"
"590","48027","4831"
"591","39005","3904"
"592","54109","5401"
"593","28123","2803"
"594","48209",NA
"595","17161","1717"
"596","49035",NA
"597","51590","5105"
"598","48113","4833"
"599","21093","2102"
"600","35001",NA
"601","06059","0646"
"602","17043","1704"
"603","25023","2509"
"604","30035","3001"
"605","55059","5501"
"606","42071","4211"
"607","24033","2405"
"608","06053","0619"
"609","06099","0605"
"610","37085","3713"
"611","04027","0407"
"612","01117","0106"
"613","26125","2607"
"614","36107","3623"
"615","55079","5505"
"616","48157","4807"
"617","45047","4503"
"618","06071","0635"
"619","01097","0101"
"620","32510","3202"
"621","06111","0624"
"622","23011","2301"
"623","36053","3622"
"624","16027","1601"
"625","51830","5101"
"626","06085",NA
"627","51600","5111"
"628","48157","4822"
"629","23015","2301"
"630","50025","5000"
"631","36063","3623"
"632","47001","4703"
"633","28151","2802"
"634","42041","4210"
"635","04001","0402"
"636","24045","2401"
"637","55079","5501"
"638","17029","1715"
"639","21151","2106"
"640","18085","1802"
"641","27171",NA
"642","06097","0604"
"643","37139","3701"
"644","42049","4216"
"645","12127","1206"
"646","25005","2504"
"647","22061","2204"
"648","21037","2104"
"649","26099","2610"
"650","37051","3707"
"651","18011","1804"
"652","36081","3607"
"653","27163","2708"
"654","06037","0626"
"655","12009","1208"
"656","27017","2708"
"657","30005","3002"
"658","08067","0803"
"659","48157","4809"
"660","13009","1308"
"661","42001","4213"
"662","49043","4903"
"663","33001","3301"
"664","55125","5507"
"665","53045","5306"
"666","36079","3617"
"667","51103","5101"
"668","19123","1901"
"669","48439","4833"
"670","37081","3706"
"671","53067","5310"
"672","34037","3405"
"673","34019","3407"
"674","18167","1808"
"675","51041","5101"
"676","26125","2609"
"677","33015","3301"
