"FIPS","IDC_loss","IDC_econ_loss","IDC_job_loss","grant_funds","grant_funds_econ","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","terminated_econ_loss"
"26081",8632809.65,21883426.4174716,86.3280965,27561476,69865959.8040494,0,0,0,0,0,0,NA
"26099",0,0,0,375000,950592.592592593,0,0,0,0,0,0,NA
"26103",0,0,0,671109,1701203.31792593,0,0,0,0,0,0,NA
"26121",15773.35,39984.0791209876,0.1577335,375000,950592.592592593,0,0,0,0,0,0,0
"26125",1589645.7,4029614.47271111,15.896457,9099718,23066998.7346173,0,0,0,0,0,0,NA
"26139",43626.9,110590.421274074,0.436269,387263,981678.237827161,0,0,0,0,0,0,NA
"26149",25528.3,64712.0343506173,0.255283,516875,1310233.45679012,0,0,0,0,0,0,NA
"26155",27891.4,70702.2886320988,0.278914,168150,426245.718518518,0,0,0,0,0,0,NA
"26161",132939837.95,336991000.575279,1329.3983795,765154530,1939600609.08444,291001.15,737662.767002469,2.9100115,0,0,0,42871789.5776059
"26163",15164210.45,38440247.4414831,151.636833355,87207127,221085031.699171,17080.6,43297.8448987654,0.170806,0,0,0,2613969.11890173
"27017",0,0,0,786246,1939340.8397651,0,0,0,0,0,0,NA
"27053",72231433.4,178164809.369323,657.30604394,429404281,1059161202.61759,151222.05,373001.703586409,1.376120655,0,0,0,6023183.0821071
"27109",57546312.7,141951663.593909,523.67144557,284997910,703185017.88517,29193.45,72008.0608850671,0.265660395,0,0,0,4081691.87547959
"27123",885769.8,2184824.53045302,8.06050518,10393575,25706047.1326869,0,0,0,0,0,0,1366038.60473574
"27137",297789.2,734521.711017897,2.70988172,1435498,3540774.6389821,0,0,0,0,0,0,NA
"27163",97208.4,239772.564932886,0.88459644,1828055,4509048.97301454,0,0,0,0,0,0,NA
"27171",19170.85,47286.4883738814,0.174454735,397361,980123.797678971,0,0,0,0,0,0,NA
"28035",327233.2,1001837.02769231,2.97782212,4852054,14854749.9384615,0,0,0,0,0,0,NA
"28049",6792059.15,20794150.3207692,61.807738265,39939306,122275721.446154,147142.25,450481.657692308,1.338994475,0,0,0,1114249.46415385
"28071",1094194.7,3349919.15846154,9.95717177,8722398,26703956.9538462,53380,163424.923076923,0.485758,0,0,0,906160.705538461
"28089",23397.85,71633.4176923077,0.212920435,8375000,25640384.6153846,0,0,0,0,0,0,NA
"28105",505820,1548587.38461538,4.602962,2845296,8710983.13846154,0,0,0,0,0,0,NA
"28151",77506.6,237289.436923077,0.70531006,374616,1146901.29230769,0,0,0,0,0,0,73056.6963076923
"29019",14193345.65,33480931.1539707,126.320776285,72167235,170236552.127329,100211.35,236390.305212955,0.891881015,0,0,0,13037773.3338421
"29077",82500,194610.692102928,0.73425,1722079,4062242.25510204,0,0,0,0,0,0,NA
"29095",4912219.95,11587521.5058341,43.718757555,27340621,64494268.7919255,0,0,0,0,0,0,NA
"29161",90462.05,213392.511024845,0.805112245,956200,2255596.89440994,0,0,0,0,0,0,NA
"29189",118313093.55,279090824.492169,1052.986532595,746474055,1761511554.92877,518512.1,1223127.25629991,4.61475769,0,0,0,41714087.1946229
"29510",6507056.75,15388475.4396613,57.936899745,38290117,90548502.684264,0,0,0,0,0,0,NA
"30005",0,0,0,633784,1664653.07755102,0,0,0,0,0,0,NA
"30013",1114041.85,2926065.02234694,10.360589205,3628886,9531380.16734694,0,0,0,0,0,0,NA
"30031",1540090.3,4045094.31857143,14.32283979,16783412,44082145.3959184,16617.5,43646.3724489796,0.15454275,0,0,0,36884.3693877551
"30035",0,0,0,533007,1399959.20204082,0,0,0,0,0,0,NA
"30047",0,0,0,97137,255133.304081633,0,0,0,0,0,0,NA
"30049",0,0,0,447881,1176373.15714286,0,0,0,0,0,0,NA
"30063",2210540.7,5806052.81816326,20.55802851,14098721,37030722.3,45738.2,120132.78244898,0.42536526,0,0,0,160.848734693878
"30111",0,0,0,1520751,3994299.05510204,0,0,0,0,0,0,NA
"31019",49857,128691.338674436,0.4636701,394857,1019208.45447924,0,0,0,0,0,0,NA
"31055",22008652.9,56835462.1901361,204.62758162,119979477,309898564.217387,334869.25,864367.532410779,3.114284025,0,0,0,3667894.54887108
"31109",4253589.15,10979402.7294974,39.558379095,20309706,52423596.5506191,128339.6,331271.334595776,1.19355828,0,0,0,2351412.84480699
"32003",1435517.8,8740415.71804281,12.2019013,9564533,58235428.7553517,0,0,0,0,0,0,NA
"32031",3134387.1,19084295.7678899,26.64229035,23521074,143212410.807339,0,0,0,0,0,0,NA
"33005",69785,170708.912878788,0.502452,1096985,2683458.00378788,0,0,0,0,0,0,NA
"33009",25316754.5,61904671.6340192,182.40670275,123471655,301849589.467656,0,0,0,0,0,0,1017624.02226515
"33011",103102.5,252210.585227273,0.742338,1010925,2472936.98863636,0,0,0,0,0,0,NA
"33013",9064.35,22173.3228409091,0.06526332,273600,669283.636363636,0,0,0,0,0,0,NA
"33015",0,0,0,152580,373243.045454545,0,0,0,0,0,0,NA
"33017",1374458.45,3362216.92049242,9.89610084,8435508,20635041.9181818,0,0,0,0,0,0,NA
"34003",3959462.75,13396296.3346087,35.63516475,20226342,68433039.607998,0,0,0,0,0,0,NA
"34007",2800936.45,9459408.74778716,25.23473229,12652613,42199587.3967555,0,0,0,0,0,0,NA
"34013",3383220.7,11446660.8033078,30.4489863,19552780,66154135.4431005,0,0,0,0,0,0,NA
"34015",1065226.35,3604046.49545791,9.58703715,5127214,17347221.6943964,0,0,0,0,0,0,NA
"34017",393079.1,1329928.94213774,3.5377119,3416439,11559050.341644,0,0,0,0,0,0,NA
"34019",55621.1,188186.323525056,0.5005899,311480,1053849.63712664,0,0,0,0,0,0,NA
"34021",13075273.65,44238385.7434954,117.67746285,62367475,211011753.233769,29147.4,98616.2094297704,0.2623266,0,0,0,980921.740024685
"34023",43545539.2,147330328.38193,391.9098528,244217372,826275808.598371,0,0,0,0,0,0,NA
"34027",283379.65,919929.579566608,2.62836808,5609264,18760632.2266529,0,0,0,0,0,0,NA
"34035",432940.9,1464795.84680326,3.8964681,3921501,13267857.9871637,0,0,0,0,0,0,NA
"34039",288196.4,975072.786571217,2.5937676,3144364,10638522.0893607,0,0,0,0,0,0,NA
"35001",18760671.65,44172437.1612469,151.961440365,102500691,241340257.782396,0,0,0,0,0,0,NA
"35013",861819.25,2029173.44193154,6.980735925,10465598,24641493.5794621,0,0,0,0,0,0,NA
"35043",13042.45,30708.7514669927,0.105643845,686341,1616005.82640587,0,0,0,0,0,0,NA
"36001",7747827.7,18057083.176021,56.55914221,37506364,87412312.2766551,0,0,0,0,0,0,NA
"36005",39015549,90929618.0465038,284.8135077,202230858,471319131.640484,341842.05,796696.902528114,2.495446965,0,0,0,10282965.5473916
"36007",2509411.6,5848433.35946563,18.31870468,13509938,31486254.4205631,0,0,0,0,0,0,NA
"36027",51297,119552.76130887,0.3744681,542756,1264946.84907415,0,0,0,0,0,0,NA
"36029",26995271.05,62915164.5575548,197.065478665,143743225,335007884.831318,263704.55,614589.685989685,1.925043215,0,0,0,6984402.61948085
"36033",0,0,0,538061,1254004.68453539,0,0,0,0,0,0,NA
"36047",89306968.95,208125755.096684,654.12934005,543097864,1266237814.00459,472431.9,1101049.53847975,3.44875287,0,0,0,10801989.8641989
"36055",35939073.05,83759584.810197,262.355233265,203351037,473929820.230659,169402.65,394809.727285026,1.236639345,0,0,0,15932041.1756489
"36059",23403856.2,54545014.9908514,170.84815026,83446963,194481448.22288,0,0,0,0,0,0,640146.270743215
"36061",408530982.95,952188714.139768,2982.728895005,2007055213,4678034196.90853,22518649.7,52481953.1859981,164.38614281,0,0,0,3121043342.48025
"36065",738276.7,1720627.28999746,5.38941991,2304418,5370675.38276824,0,0,0,0,0,0,NA
"36067",7388731.05,17220172.7117781,53.937736665,37694189,87850057.1231927,0,0,0,0,0,0,0
"36075",108673.15,253273.586420901,0.793313995,890929,2076398.66035343,0,0,0,0,0,0,NA
"36079",31998.2,74574.9881457682,0.23358686,1032815,2407078.09757335,0,0,0,0,0,0,NA
"36081",1866743.6,4350631.65556777,13.62722828,11587525,27005879.6905386,83082.65,193632.380536062,0.606503345,0,0,0,5339740.40368648
"36083",1553682,3621010.45472225,11.3418786,12776851,29777722.2426651,40390.45,94133.9615963473,0.294850285,0,0,0,2316182.38741862
"36085",189634.5,441962.066289,1.38433185,1982684,4620842.291029,0,0,0,0,0,0,NA
"36087",3329830.85,7760502.03343198,24.307765205,17631016,41090836.6469942,0,0,0,0,0,0,NA
"36089",337802.55,787282.445945718,2.465958615,2438419,5682978.04312167,0,0,0,0,0,0,73394.2365333559
"36091",543759.45,1267285.48911812,3.969443985,2761508,6435969.09715059,0,0,0,0,0,0,NA
"36093",459004.95,1069756.69584848,3.350736135,2222240,5179151.37904794,0,0,0,0,0,0,NA
"36097",31597.85,70908.7984026252,0.25910237,758353,1701821.48453221,0,0,0,0,0,0,NA
"36103",16153789.55,37648013.4570221,117.922663715,74705081,174051226.156831,0,0,0,0,0,0,NA
"36107",51250,119443.223133508,0.374125,287000,668882.049547645,0,0,0,0,0,0,NA
"36109",22272138.75,51907434.8951552,162.586612875,110684323,257960825.160396,3122640.8,7277625.01151602,22.79527784,0,0,0,549539125.393997
"36119",3696928.5,8804933.29838617,27.292571055,20732070,49375842.112775,0,0,0,0,0,0,3018662.00941913
"37001",95640.4,234949.562743609,0.956404,873885,2146780.00759301,0,0,0,0,0,0,NA
"37021",15392.75,37813.7260187294,0.1539275,220846,542528.796760314,0,0,0,0,0,0,NA
"37025",0,0,0,915031,2247858.99417869,0,0,0,0,0,0,NA
"37037",79602.95,195552.071045305,0.7960295,858897,2109960.58769932,0,0,0,0,0,0,NA
"37051",0,0,0,322072,791199.906859023,0,0,0,0,0,0,232219.992832194
"37063",132983171.6,326720799.498634,1329.690731,1026327497,2521466537.93754,1613599.75,3963958.28233359,16.1359975,0,0,0,504595019.982998
"37067",24341086.05,59796148.1147304,243.4108605,155646890,382361102.085548,225583.95,554168.012832194,2.2558395,0,0,0,10399284.5456492
"37081",1701916.95,4180917.72126044,17.0191695,12029118,29550650.2930904,0,0,0,0,0,0,440717.622551253
"37109",187662.05,461009.328600354,1.8766205,1747790,4293609.14705138,0,0,0,0,0,0,NA
"37119",2014375.65,4948501.66006074,20.1437565,11019092,27069427.2214629,112030.4,275213.12639838,1.120304,0,0,0,414453.225856745
"37129",2531650.45,6219235.45120223,25.3165045,10331798,25381025.4082511,0,0,0,0,0,0,NA
"37135",86832331.6,213311721.21225,868.323316,569929171,1400084164.44596,264458.6,649667.216299671,2.644586,0,0,0,41075971.6015338
"37147",1352705.05,3323046.11878006,13.5270505,7882678,19364533.7048848,0,0,0,0,0,0,28688.5137990382
"37155",0,0,0,858633,2109312.04707669,0,0,0,0,0,0,0
"37179",0,0,0,374000,918765.882055176,0,0,0,0,0,0,NA
"37183",8168093.45,20065683.3778031,81.6809345,58285091,143182762.147811,29113.05,71518.922627183,0.2911305,0,0,0,4791540.75310554
"37189",91093,223778.450518856,0.91093,577462,1418589.2614528,0,0,0,0,0,0,NA
"37197",0,0,0,998231,2452247.55403695,0,0,0,0,0,0,NA
"38017",1638547.65,5591125.85877551,12.78067167,10482771,35769781.8612245,0,0,0,0,0,0,NA
"38035",1861537.95,6352023.3722449,14.51999601,17355756,59222089.8612245,0,0,0,0,0,0,226041.296979592
"39005",18957,49286.3675205413,0.1933614,306457,796758.576317061,0,0,0,0,0,0,NA
"39009",662305.7,1721930.7981827,6.75551814,14000980,36401194.5944901,0,0,0,0,0,0,NA
"39017",806872.45,2097790.37362977,8.23009899,4780050,12427667.9362011,0,0,0,0,0,0,NA
"39035",68354845.7,177715991.295041,697.21942614,330318450,858792790.260936,257744.8,670111.565084582,2.62899696,0,0,0,8474009.18222136
"39049",64591049.75,167612098.396433,656.10519789,345426301,896623583.235014,108653.8,282489.376974384,1.10826876,0,0,0,17623219.4742968
"39057",1010838.45,2628082.25724505,10.31055219,5784035,15037931.8859352,0,0,0,0,0,0,NA
"39061",47458283.75,123386950.192363,484.07449425,276944381,720028619.756017,230022.55,598036.394857419,2.34623001,0,0,0,4518855.83309508
"39089",10949.85,28468.5515321411,0.11168847,355100,923225.674238763,0,0,0,0,0,0,NA
"39095",2690887.9,6996048.42517158,27.44705658,14952865,38876003.5804737,0,0,0,0,0,0,0
"39113",299975.05,779906.132895118,3.05974551,3173777,8251513.40666989,0,0,0,0,0,0,NA
"39133",2640717.1,6865609.19493475,26.93531442,11309871,29404571.3306912,10392.85,27020.4053745771,0.10600707,0,0,0,1091218.4282262
"39153",211930.5,550998.813726438,2.1616911,4632554,12044192.5939101,0,0,0,0,0,0,NA
"39159",0,0,0,407702,1059985.78946351,0,0,0,0,0,0,NA
"39169",0,0,0,1202912,3127454.92044466,0,0,0,0,0,0,NA
"39173",94500,245690.865152247,0.9639,497000,1292151.95746738,0,0,0,0,0,0,NA
"40021",0,0,0,1485682,4240601.59361022,0,0,0,0,0,0,674594.380428115
"40027",1574423.8,4493898.47578275,16.84633466,11884901,33923228.6051118,0,0,0,0,0,0,3283116.55591054
"40109",19630272.2,56030943.0782109,210.04391254,115724172,330313020.015335,353724,1009639.04664537,3.7848468,0,0,0,2045774.76741853
"40119",1695793.75,4840326.31389776,18.144993125,11378215,32476988.1182109,0,0,0,0,0,0,575200.918830671
"40125",67594.95,192937.151214057,0.723265965,655023,1869640.72907348,0,0,0,0,0,0,NA
"40143",3369341.8,9617156.43488818,36.05195726,15298206,43665869.7776358,0,0,0,0,0,0,NA
"41003",2744078.45,6811081.14887973,25.519929585,21779597,54059169.6847798,0,0,0,0,0,0,NA
"41005",277972.15,689955.081560649,2.585140995,3110033,7719417.47463302,0,0,0,0,0,0,NA
"41039",8836398.2,21932836.9434973,82.17850326,57160850,141879029.693536,13992.8,34731.5494205511,0.13013304,0,0,0,0
"41051",48182739.5,119590938.562635,447.986741,318519239,790580961.519294,0,0,0,0,0,0,1218033.0156477
"41067",171685.4,426140.583363379,1.59667422,3307816,8210334.94926603,0,0,0,0,0,0,NA
"42003",126947183.9,305936442.196709,1130.05794683,756825899,1823893154.49925,582327.2,1403127.73096221,5.18271208,0,0,0,26114376.935512
"42017",1199299.2,2889732.72284172,10.67376288,10692724,25764308.3886948,0,0,0,0,0,0,NA
"42027",18476754.05,44488650.983841,164.398068425,96131826,231480702.521251,316182.1,761846.385578188,2.81402069,0,0,0,3770256.19506782
"42029",1598727.6,3852162.54678583,14.22867564,10160267,24481343.7903643,0,0,0,0,0,0,NA
"42043",17625459.35,42468857.3450324,156.866588215,78623740,189445297.945833,126130.6,303913.920872839,1.12256234,0,0,0,11158522.916349
"42045",314603.35,758042.359413419,2.799969815,3032487,7306831.28571428,0,0,0,0,0,0,NA
"42055",0,0,0,999999,2409515.35122261,0,0,0,0,0,0,NA
"42061",15902.15,38316.5128589575,0.141529135,135570,326658.322823572,0,0,0,0,0,0,NA
"42071",353248.55,851158.655180783,3.143912095,3428128,8260135.30209137,0,0,0,0,0,0,NA
