"FIPS","terminated_loss","terminated_loss_noself","terminated_econ_loss","terminated_job_loss","terminated_econ_loss_noself","terminated_job_loss_noself","IDC_loss","IDC_econ_loss","IDC_job_loss","grant_funds","grant_funds_econ","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","rho"
"01047",31657.246638508,31657.246638508,76504.5445719371,0.298643490459053,76504.5445719371,0.298643490459053,111230.806592759,272432.081373711,1.06283819909014,791700.3392029,1932666.05514517,1534.81112557945,3752.41855457226,0.0146458628156622,0,0,0,0
"01049",20066.1101633403,20066.1101633403,48449.554522805,0.188942592205867,48449.554522805,0.188942592205867,68601.1483981028,166677.030603705,0.649807834171616,510311.461159131,1241337.9567567,943.770038378226,2297.0602146225,0.00892453428786228,0,0,0,0
"01051",76738.7413611707,76738.7413611707,185616.961768526,0.724550923054092,185616.961768526,0.724550923054092,267332.24658114,655147.662196753,2.55956265144131,1809746.33686852,4426131.83517767,2977.44616304176,7321.30780992537,0.0285581782318281,0,0,0,0
"01053",15085.0305426385,15085.0305426385,36406.4157908994,0.142015790237239,36406.4157908994,0.142015790237239,50316.6273964883,123273.546708118,0.478702430086454,355638.433865305,869346.868429678,715.41873997999,1742.39665362683,0.00677375253208441,0,0,0,0
"01055",135117.262590391,135117.262590391,325804.506532422,1.27142376027138,325804.506532422,1.27142376027138,400539.986625745,969022.558229946,3.78095862061159,2929771.74415606,7085042.36958169,6257.50832828381,15133.8652706732,0.0590229413512041,0,0,0,0
"01057",24147.0829442952,24147.0829442952,58294.2432243476,0.227657150661554,58294.2432243476,0.227657150661554,83683.1959764855,203682.16924785,0.795277581647701,622221.827715904,1513254.33042588,1138.87549881666,2772.19737145624,0.0108476399572455,0,0,0,0
"01059",16095.3453799783,16095.3453799783,38934.5795723327,0.151581829629723,38934.5795723327,0.151581829629723,55112.5718858142,135869.419720847,0.523606578569819,398502.207874731,979717.565519479,784.650161682491,1925.05539874985,0.00743317225937374,0,0,0,0
"01061",5847.89036776855,5614.4150465122,15023.1267763798,0.0597830925292349,14449.5728740477,0.0574483393166714,19299.3594325272,48951.8301893227,0.194107818775292,134992.199310539,342966.636852574,235.269220953794,609.042638611721,0.00242116281707362,0,0,0,0
"01063",5984.05335923657,5984.05335923657,14547.9555927622,0.0568717520511949,14547.9555927622,0.0568717520511949,28442.7862970449,69675.287460635,0.272085979851309,203286.300440257,495926.690863118,264.027365094455,641.486938294988,0.0025020991601337,0,0,0,0
"01065",15389.4739464836,15389.4739464836,37094.5962667908,0.14477346917334,37094.5962667908,0.14477346917334,68959.2605471944,167137.327690899,0.651730751425078,523009.706406616,1267903.1473565,681.945256834963,1647.98443249728,0.00643052734249447,0,0,0,0
