"GEOID","IDC_loss","IDC_econ_loss","IDC_job_loss","grant_funds","grant_funds_econ","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","terminated_econ_loss"
"1711",138200.3,353792.768,1.5253787536538,1807118,4626222.08,0,0,0,0,0,0,NA
"1712",62700.3,160512.768,0.692051359278664,861954,2206602.24,0,0,0,0,0,0,NA
"1713",16917933.35,43309909.376,186.730825387651,93360942,239004011.52,0,0,0,0,0,0,584461.952
"1714",122960.6,314779.136,1.35717134316295,1790560,4583833.6,0,0,0,0,0,0,NA
"1715",152350.4,390017.024,1.6815597597882,2199194,5629936.64,0,0,0,0,0,0,NA
"1717",304004.65,778251.904,3.35543579950231,3018414,7727139.84,0,0,0,0,0,0,NA
"1801",61206.85,156689.536,0.675567481170988,967960,2477977.6,0,0,0,0,0,0,NA
"1802",4893335.7,12526939.392,54.0099428964743,29218605,74799628.8,0,0,0,0,0,0,1847918.6432
"1804",13055706.4,33422608.384,144.101692662765,72596673,185847482.88,0,0,0,0,0,0,777368.8832
"1805",217243.5,556143.36,2.39781403708522,2790888,7144673.28,0,0,0,0,0,0,NA
"1806",164189.85,420326.016,1.8122370845476,919465,2353830.4,0,0,0,0,0,0,NA
"1807",47350920.65,121218356.864,522.633368563287,263731662,675153054.72,0,0,0,0,0,0,12799844.4544
"1808",0,0,0,250000,640000,0,0,0,0,0,0,NA
"1809",9761998.25,24990715.52,107.747557159829,48829300,125003008,0,0,0,0,0,0,94423.8848
"1901",71782058.95,183762070.912,792.290809903121,375108479,960277706.24,0,0,0,0,0,0,1939584.78160721
"1903",110368.2,282542.592,1.21818337123011,1790574,4583869.44,0,0,0,0,0,0,NA
"1904",6674208.2,17085972.992,73.6662321698429,38513439,98594403.84,0,0,0,0,0,0,NA
"2001",5897344.85,15097202.816,65.0916426169815,37095797,94965240.32,0,0,0,0,0,0,815514.8032
