"FIPS","IDC_econ_loss_natl","term_econ_loss_natl"
"21093",698934.672704537,117521.439075101
"21095",117326.164896089,14184.1215141601
"21097",227328.621917855,26454.7400718719
"21099",281777.290180675,36038.6121953751
"21101",117247.840234417,16476.13113543
"21103",239885.061854819,29628.7880832741
"21105",2458.55858263657,137.8955929706
"21107",216217.883243517,24549.9339126042
"21109",89864.8271559331,10648.6474630642
"21111",32102758.4330751,6079715.61163241
"21113",3344181.05580373,391957.06904071
"21115",73284.2619990022,8725.54649304616
"21117",7573637.0272836,340689.19134717
"21119",46406.3284257137,5324.32373153208
"21121",94513.1588613986,11387.7083588122
"21123",225642.54124461,31059.8422589208
"21125",640837.547231906,77130.1689001959
"21127",81659.0559064215,10203.6682845422
"21129",44621.4745142427,5324.32373153208
"21131",73871.7353805682,8978.45445170434
"21133",46576.1832598784,5324.32373153208
"21135",74387.3774320624,7085.73492003195
"21137",286959.564272585,33951.7554936784
"21139",10451.3668000782,1667.10203920743
"21141",269884.595640067,231546.413655285
"21143",47747.1560096472,2169.20913321357
"21145",267794.858823981,26328.2398796685
"21147",107239.280263792,12244.2635828753
"21149",23264.8306849803,3418.08285661149
"21151",3074735.52606714,367602.11607264
"21153",47449.2757691957,5324.32373153208
"21155",140329.41720322,17524.3334374438
"21157",55696.6440606107,5345.73465684604
"21159",27567.9489635907,3883.21281256537
"21161",315093.378231533,33677.770940408
"21163",338083.7723355,51510.2554024002
"21165",80529.8042169244,8964.77662554774
"21167",347337.746461574,41727.6952019663
"21169",63071.2281009684,6872.00894304967
"21171",55782.9955210956,8612.92031017807
"21173",795918.79580785,89182.4786751479
"21175",30520.9641007252,2982.44402401703
"21177",125634.481223265,14028.8308857311
"21179",590014.761666437,492935.45038122
"21181",141550.670091432,16712.0320903443
"21183",74833.3482988153,9548.94907135211
"21185",2249133.51760674,374522.72625795
"21187",64963.6763317904,5909.21919042681
"21189",5922.59842630866,52.5680420642649
"21191",292209.895814002,15126.0108328144
"21193",118447.692059087,13535.9535370975
"21195",361815.578842139,24698.5176876424
"21197",150799.82327435,17976.3965629873
"21199",235839.874730598,28963.2969976434
"21201",4593.79119300334,252.90795865818
"21203",67227.3900070924,7986.48559729813
"21205",548843.640916979,63687.5208226867
"21207",27276.9587269945,3590.20300922544
"21209",2211658.14039897,251613.204730656
"21211",728207.995355687,117921.645778886
"21213",165971.595585827,27842.5832724285
"21215",280351.458502372,45401.6240758752
"21217",68272.333658829,8364.44609272085
"21219",77037.7436845352,5432.19963705221
"21221",66639.8637155928,4203.05643246187
"21223",35065.8172498375,3401.22276151407
"21225",27623.7861873853,2876.91589302842
"21227",903959.783728533,561420.921321144
"21229",65434.1644140795,6819.56003568168
"21231",122746.634262888,15322.3635931609
"21233",10834.1691238083,1020.83360610964
"21235",79684.0386288342,9528.53509974101
"21237",1250.88875561764,0
"21239",2125429.62450444,255966.490825689
"22001",186127.589413278,20353.2097949309
"22003",61894.5767526409,2286.32338033202
"22005",1401989.19976698,131074.330817374
"22007",113424.702588784,21931.9127656484
"22009",53402.9865936541,7386.86332479037
"22011",40565.8453858933,3327.24854250899
"22013",66256.0165726161,4094.26755014018
"22015",1507161.33496027,11904.6084105456
"22017",5403286.20781271,45992.1373802447
"22019",291885.58220394,49885.6526442196
"22021",13304.9430806951,1286.13616335457
"22023",2531.2698908489,213.35037443196
"22025",15012.7433320001,807.141970519148
"22027",61846.1607947892,4665.4103186572
"22029",9810.25203113504,562.50751444645
"22031",198584.012370829,3848.64982866948
"22033",11925937.7155103,1621288.93071833
"22035",9752.77985048145,1131.40611442004
"22037",127252.319607967,9421.65452046629
"22039",92935.6000027372,19806.7795743717
"22041",20705.7333214001,2641.39521577486
"22043",18571.1731348798,1791.47699371057
"22045",124828.598095776,21041.2887085707
"22047",375122.980161335,38211.5900156354
"22049",22398.8394681977,1272.79836430865
"22051",14300191.990593,3544000.46494547
"22053",31682.0379408276,2235.28108008341
"22055",793066.77248329,79048.5139222708
"22057",467804.812252469,104852.381490132
"22059",15954.768941591,2070.66533028651
"22061",68476.4174901059,8864.20301567153
"22063",1337103.26767968,141905.587557089
"22065",7641.9552059538,943.643110735935
"22067",25196.9423471893,2347.86108792253
"22069",109525.108233025,8665.47259481426
"22071",29464328.6505169,7803681.95450788
"22073",291386.528044546,19643.3938697763
"22075",199948.938625417,42591.9236947312
"22077",178805.010538931,13759.7495084537
"22079",247676.673254333,67205.5426983186
"22081",30340.7926164276,3083.89531017211
"22083",33208.3362243606,1662.6545439117
"22085",35632.2343142433,2370.75215929907
"22087",813494.400584033,182023.967081214
"22089",808545.297407821,187386.016321477
"22091",20917.0692283131,4572.0714870991
"22093",91175.8720156851,18679.3074360266
"22095",601419.397405068,143090.180808662
"22097",221430.174647775,34142.3727961006
"22099",196227.666434306,35496.330181713
"22101",126668.870880046,14306.3244900576
"22103",3586778.90633403,882563.665418889
"22105",620323.081940346,139456.934225315
"22107",5972.21623315937,672.090668005728
"22109",206414.915770022,43038.2462307136
"22111",25925.3392400498,3148.70093905158
"22113",135581.205472906,26664.3393184688
"22115",56869.0949638862,7821.88178851822
"22117",764142.836015813,210245.77119618
"22119",269947.58426858,7801.16999128196
"22121",409443.379889278,51105.6819637776
"22123",4975.92935318411,659.644169948927
"22125",94136.3517999852,15001.3714355756
"22127",20541.9817923362,2966.59364334451
"23001",1070127.37155484,221794.645517108
"23003",260609.046178821,6042.45140163749
"23005",9657815.14313127,580850.928760132
"23007",385921.888373251,4808.5100243436
"23009",44815915.3004346,695297.121856277
"23011",1104408.02656923,252517.199141784
"23013",512793.54910368,7909.77226684787
"23015",491005.500429588,45307.6917222326
"23017",451929.921503377,9405.5034030188
"23019",5476969.44575014,68720.4736827236
"23021",327606.622466077,4462.42432242809
"23023",352027.726247569,157275.36078534
"23025",484275.361133755,6219.25647881432
"23027",732845.072312239,9713.59794396598
"23029",2309934.49912134,33750.8364096941
"23031",3944435.9881236,110365.815733357
"24001",390982.699174337,18409.0877660103
"24003",32325293.7689153,4736182.06781923
"24005",176734490.805507,11392868.6792175
"24009",1743105.6939289,267399.994007596
"24011",607032.087678872,35327.7823663749
"24013",8276959.8574945,441743.592938852
"24015",4530778.98857805,239526.922452176
"24017",3399411.49538158,632469.750160276
"24019",2149812.56768089,151678.431895469
"24021",7343075.06715849,478524.817733385
"24023",341374.581581521,21720.1963653184
"24025",18952366.9034163,1130840.98865204
"24027",41883799.2817858,2107060.96436478
"24029",460147.044356714,32419.3806835935
"24031",46232004.4181311,4331257.82171737
"24033",38335588.9108092,5862886.32142549
"24035",773404.06289075,41747.0643907579
"24037",1335445.14393312,103463.834795019
"24039",445961.920668883,19490.4407906464
"24041",580286.858377942,25600.4787946978
"24043",1917628.47571793,139282.076200558
"24045",1987929.90177044,2834092.2473617
"24047",289415.201600894,18501.4945848301
"24510",175649163.489457,13813728.4123829
"25001",11664965.3522632,2680648.87587711
"25003",3735012.68391604,487169.819092723
"25005",42014192.2180894,67454505.6185327
"25007",541848.742664928,205253.374648136
"25009",97323178.4576812,15612692.9904563
"25011",5094926.98655478,614713.975210031
"25013",16971802.7694981,2534046.6822869
"25015",12667446.2876621,1748270.92205289
"25017",492497228.358737,108987220.954353
"25019",398381.367295611,325952.7060999
"25021",250704343.301378,71989967.3414648
"25023",71664685.7984035,21281823.795612
"25025",394763535.78131,87999310.7641181
"25027",98735402.1730614,29428254.626045
"26001",52983.1611447411,6995.4677754338
"26003",47785.7698711768,5687.70919993648
"26005",1229574.52580128,653923.60239753
"26007",74638.7648721997,9168.82721437731
"26009",78734.4120526985,209390.558025195
"26011",39102.2584210547,5768.73445755777
"26013",60339.3619318184,1419.3145503489
"26015",638487.942141659,430146.793549591
"26017",434459.236500697,63171.5563387315
"26019",60098.704539669,7319.25005547922
"26021",1640871.14144569,924603.659270314
"26023",235471.386450903,22740.4148544473
"26025",876192.16660041,476473.300909818
"26027",654941.672876025,231681.915861232
"26029",85515.9148489418,11614.1893117978
"26031",82093.0214912649,8054.66922099831
"26033",111792.404798582,211498.28081174
"26035",277501.622156798,53199.5917328819
"26037",3734317.39073191,573068.492188367
"26039",19113.9555123491,2277.85963927931
"26041",124656.451930737,212834.205921506
"26043",113246.995670086,8094.90892474962
"26045",6345133.83872755,700116.527507907
"26047",108892.595427215,14762.6629122374
"26049",11220031.3906381,1197734.51999712
"26051",65870.0395480258,12061.5411735305
"26053",24067.6577660352,1401.77392966439
"26055",254763.635650083,428955.745701337
"26057",243390.45538877,266132.68513171
"26059",2417212.96826368,294673.431447137
"26061",1707138.51644353,214553.541691357
"26063",197344.287321438,19551.0865893718
"26065",28459606.3790075,2401924.35956887
"26067",946882.088087006,446798.742200073
"26069",151741.763420777,17095.4562410238
"26071",36580.8854864413,3544.74156480043
"26073",754969.731385873,653970.155785251
"26075",7197511.98142074,1610829.78516349
"26077",3125332.13489722,1789370.71025827
"26079",53946.5993196981,7008.86964832196
"26081",18202608.970682,6082907.19807545
"26083",32325.2386457634,0
"26085",62177.9431990602,7672.22583181942
"26087",545860.621973793,447045.532841706
"26089",74818.8515033672,7413.09705238676
"26091",4610888.43522809,748448.353200376
"26093",23913254.2371885,3497691.84530177
"26095",3679.10936072164,132.116044838548
"26097",31294.3998136925,3544.74156480043
"26099",11495907.7434452,997060.699947196
"26101",77556.3841360786,15172.8540998385
"26103",252327.963992766,223696.791955369
"26105",198788.690159357,220187.162844023
"26107",308072.724608724,239305.045452462
"26109",113415.846084356,211159.093704962
"26111",511457.441272505,94292.2639957726
"26113",26466.0582102705,3013.14151189401
"26115",8082184.0315147,1103886.17961573
"26117",733070.420383048,41115.3876687689
"26119",42780.2558050871,4856.0085313701
"26121",1109086.74445339,274328.492067463
