"FIPS","static_term_loss","terminated_econ_loss"
"21093",0,119262.093071404
"21111",7609380.77778538,6160969.11443024
"21113",0,397244.651004227
"21185",0,379627.719525163
"21195",0,25029.1599856733
"21227",711268.701154339,569655.857063582
"22017",0,51247.2297805049
"22033",2075822.39486985,1748125.42595431
"22055",0,85539.6404722519
"22061",0,9662.15148169337
"22071",15173040.9665594,8382033.68223098
"22073",0,21677.8595361792
"23001",0,184143.301483408
"23005",0,488927.439457106
"23009",712609.372820513,624038.881757226
"23015",0,39752.9741165252
"23019",0,61571.0862580031
"23031",0,96866.5281005424
"24003",0,3903299.18702442
"24005",0,9603651.06361676
"24021",0,374170.25463659
"24027",0,1631989.23849795
"24031",162103.072011842,1458410.66526574
"24033",0,805255.134277783
"24039",0,16394.0203010728
"24045",0,2572099.4334876
"24510",25084452.2164056,11870332.2114082
"25001",0,2247799.58687744
"25005",0,54448128.7494992
"25009",0,13557581.9733324
"25013",0,2139642.31856583
"25015",550608.98459379,1475885.75218604
"25017",40023867.162934,94408620.281902
"25021",0,62582531.1389792
"25023",0,18244835.5974343
"25025",184175397.375912,76534665.4911541
"25027",1660596.4780207,25112653.7105994
"26005",0,721597.00715327
"26049",0,1186089.22786401
"26061",0,237184.011028255
"26065",1960409.7907121,2502258.87515811
"26073",781919.442962963,673947.483384631
"26077",0,1971230.4932677
"26081",0,6711787.14201743
"26099",0,986694.691156977
"26103",0,246179.82572401
"26121",0,296973.765698163
"26125",0,12444527.5502352
"26139",0,337745.858085302
"26149",0,25583.3905080659
"26155",0,229265.804850242
"26161",42871789.5776059,25082244.4665486
"26163",2613969.11890173,9065696.90640033
"27017",0,228773.598754949
"27053",6023183.0821071,9975459.09520274
"27109",4081691.87547959,2888832.74891587
"27123",1366038.60473574,1787425.03546544
"27137",0,36197.8164024548
"27163",0,3314624.01116577
"27171",0,64195.0471550152
"28035",0,34582.1035502343
"28049",1114249.46415385,674175.05911653
"28071",906160.705538461,543722.659337274
"28089",0,1128277.97230309
"28105",0,12769.1194314872
"28151",73056.6963076923,56717.2298077678
"29019",13037773.3338421,9219283.048068
"29077",0,151134.441964158
"29095",0,563542.139450947
"29161",0,36370.8117300295
"29189",41714087.1946229,27677385.5582579
"29510",0,12185591.0815152
"30005",0,62.0948979591837
"30013",0,2044.95065409748
"30031",36884.3693877551,27173.088329791
"30035",0,0.0960290953396138
"30047",0,1610.4306644501
"30049",0,2571.18193587019
"30063",160.848734693853,122660.064986632
"30111",0,10215.2435313631
"31019",0,26319.407472534
"31055",3667894.54887108,2788494.49016857
"31109",2351412.84480699,1938339.08424355
"32003",0,82696.5937122638
"32031",0,6189.02697362232
"33005",0,236091.060981542
"33009",1017624.02226515,644025.352348554
"33011",0,4375412.48538641
"33013",0,492033.350637651
"33015",0,2089524.61586255
"33017",0,299878.940685364
"34003",0,166401299.650062
"34007",0,6533118.59278932
"34013",0,25145979.5813817
