"org_name","lat","lon","terminated_loss","terminated_num","terminated_loss_noself","terminated_num_noself"
"Cornell University",42.438,-76.4625,136293739.86,123,136293739.86,123
"Michigan State University",42.653979,-84.492032,497104.99,4,497104.99,3
"Roswell Park Cancer Institute Corp",42.873378,-78.869243,2093741.69,1,2093741.69,1
"Marquette University",43.038728,-87.923307,127391.05,1,127391.05,1
"Medical College of Wisconsin",43.04575,-88.020374,1621793.94,6,1621793.94,6
"University of Wisconsin-Madison",43.068519,-89.400858,26513.82,1,0,0
"University of Rochester",43.131774,-77.63546,6854942.1345768,14,6854942.1345768,9
"Mayo Clinic Rochester",44.02432,-92.46011,2713.57000000001,3,2713.57000000001,1
"Iris Media, Inc.",44.048722,-123.088476,102337.86,1,102337.86,1
"Healthpartners Institute",44.85364,-93.225576,684562.35,1,684562.35,1
"Montana State University - Bozeman",45.661963,-111.059937,347004,2,347004,1
"University of Idaho",46.730287,-116.996847,243447.5,1,243447.5,1
"University of Montana",46.860203,-113.983723,137708.29,2,137708.29,1
"Institute for Systems Biology",47.622538,-122.337533,643150,2,643150,2
"Fred Hutchinson Cancer Center",47.626482,-122.329606,1863501.68208791,7,1863501.68208791,6
"University of Washington",47.660307,-122.315168,138433.85,1,0,0
"Seattle Children's Hospital",47.66243,-122.282291,1014544.41,3,1014544.41,3
"University of Alaska Anchorage",61.190646,-149.818129,33538.85,1,33538.85,1
"Colliga Apps Corp.",25.763047,-80.190448,178325,1,178325,1
"University of South Florida",28.074039,-82.395963,13839.13,2,13839.13,1
"University of Texas Health Science Center Houston",29.703025,-95.403303,1105951.57,6,1105951.57,5
"LSU Health Scienes Center",29.957378,-90.082793,398574.43,2,398574.43,2
"Dillard University",29.996211,-90.065957,267305.26,1,267305.26,1
"Prairie View A&M University ",30.081335,-95.992865,31770.96,1,31770.96,1
"Mayo Clinic Jacksonville",30.264703,-81.444793,6564.86,1,6564.86,1
"University of North Florida",30.270668,-81.510431,124502.12,1,124502.12,1
"Texas A&M University",30.551654,-96.242881,618534.16,6,618534.16,5
"Texas A&M University",30.605876,-96.368771,1462384.88,4,1462384.88,4
"Sam Houston State University",30.715211,-95.549345,60143.62,1,60143.62,1
"Baylor University",31.555713,-97.121401,2180559,1,2180559,1
"University of Texas Arlington",32.728201,-97.112604,1260984.22,2,1260984.22,2
"Scripps Health",32.887742,-117.223797,202964,1,202964,1
"Claflin University",33.495919,-80.855463,699563.4,1,699563.4,1
"Mayo Clinic Arizona",33.589113,-111.79394,846373.05,2,846373.05,2
"Georgia Institute of Technology",33.781897,-84.404009,97206.95,3,97206.95,2
"California Institute of Technology",34.134332,-118.12652,625874,1,625874,1
"Clemson University",34.673146,-82.823962,269784.54,3,269784.54,2
"Fayetteville State University",35.071547,-78.894454,94529.28,1,94529.28,1
"St. Jude Children's Research Hospital",35.155607,-90.045279,522011,1,522011,1
"University of Oklahoma",35.209223,-97.443781,1150230,1,1150230,1
"Oklahoma Medical Research Foundation",35.482988,-97.49781,324164.61,1,324164.61,1
"Equiti Foods, LLC",35.901309,-79.061049,55120,1,55120,1
"North Carolina Central University",35.97467,-78.898054,224681.54,1,224681.54,1
"University of North Carolina Greensboro",36.065048,-79.808967,106074.32,1,106074.32,1
"North Carolina A&T State University",36.074178,-79.775965,107518.95,2,107518.95,2
"Tennessee State University",36.168333,-86.828524,153224.53,1,153224.53,1
"Old Dominion University",36.888989,-76.303478,81630.1800000001,2,81630.1800000001,2
"Western Kentucky University",36.986798,-86.455375,274169,1,274169,1
"Hampton University",37.025661,-76.347732,106212,1,106212,1
"San Francisco Department of Public Health",37.778128,-122.418652,903447,1,0,0
"Isa Associates, Inc.",38.805407,-77.039842,1223918.19,1,1223918.19,1
"American Psychological Association",38.89984,-77.007538,277691.22,1,277691.22,1
"Endocrine Society",38.904115,-77.046163,1361923,1,1361923,1
"Georgetown University",38.905206,-77.07547,733753.38,2,733753.38,2
"Howard University",38.923138,-77.021576,2314508.01,2,2314508.01,2
"University of Missouri-Columbia",38.948231,-92.327335,6183714.77285714,8,6183714.77285714,8
"American Gastroenterological Association Institute",38.989333,-77.099203,548628,1,548628,1
