"GEOID","IDC_econ_loss","static_IDC_loss","terminated_econ_loss","static_term_loss","pol_party","state"
"0801",61390568.9088459,21878459.3791461,623556.315601405,646932.122459421,"Democrat","Colorado"
"0802",46750715.513829,57704420.8150591,78954.1057282127,0,"Democrat","Colorado"
"0803",2220618.35560352,84209.5977417078,104292.846927881,0,"Republican","Colorado"
"0804",24897993.1545124,78953.0943013409,96947.1891830369,0,"Republican","Colorado"
"0805",10411533.6550869,195345.354710656,2663367.33409312,2987414.07551164,"Republican","Colorado"
"0806",50208227.5210652,160348640.968155,1340297.76318318,0,"Democrat","Colorado"
"0807",25380157.4857636,3462105.82357093,440640.317316072,0,"Democrat","Colorado"
"0808",24102078.875186,500048.380733945,36121.7704592662,0,"Republican","Colorado"
"0901",43397896.8133084,1945500.95489386,7545081.93359144,2062163.44372823,"Democrat","Connecticut"
"0902",46417131.4163151,16148976.9070484,16312694.6460089,3780929.93788611,"Democrat","Connecticut"
"0903",209988639.440137,328555506.637568,26965051.3087427,25616535.0576141,"Democrat","Connecticut"
"0904",41979829.7555317,1750830.91693784,25362441.0860144,0,"Democrat","Connecticut"
"0905",44291263.891518,31613283.8030189,5363518.83343449,629406.766313716,"Democrat","Connecticut"
"1000",31627508.6592266,28159010.0895878,4266861.77264819,0,"Democrat","Delaware"
"1198",7813347.91419626,626232.545260844,1209738.79210537,0,"Democrat","District of Columbia"
"1201",1923203.35514986,764596.263085241,195081.013165281,0,"Republican","Florida"
"1202",30864378.3857751,31986965.6202979,5421911.75985639,5697596.27524445,"Republican","Florida"
"1203",140299959.255016,162181857.755767,15840169.5768535,18244467.238416,"Republican","Florida"
"1205",20613316.1987674,26539978.2858622,3194363.18702162,4279216.88016795,"Republican","Florida"
"1207",4692527.09613362,0,801795.65052067,0,"Republican","Florida"
"1208",2378446.81297567,550568.061486253,267051.047284367,0,"Republican","Florida"
"1210",5541903.93136308,10591362.6689865,952786.424164517,2081848.97417462,"Democrat","Florida"
"1211",2576805.55989593,0,292895.353866264,0,"Republican","Florida"
"1214",23413232.4091336,197113.501552974,2419796.48046526,0,"Democrat","Florida"
"1215",39403021.3081089,88122477.9794087,4062610.10281896,9026263.91876797,"Republican","Florida"
"1216",10281365.3776995,1668528.5216266,978506.251367425,0,"Republican","Florida"
"1218",2101906.69990574,0,1105355.35970924,0,"Republican","Florida"
"1219",1853628.0750941,605290.233492465,359874.101588819,0,"Republican","Florida"
"1221",6597047.26156824,7089073.54029104,208521.888621286,0,"Republican","Florida"
"1222",4149107.80986548,0,244513.643086639,0,"Democrat","Florida"
"1223",5411990.97213829,4554652.13108248,363020.425282377,0,"Democrat","Florida"
"1224",16266638.3940477,431304.64361275,1743938.34395652,0,"Democrat","Florida"
"1225",10932203.4794118,2666774.27044912,1051321.91691318,0,"Democrat","Florida"
"1226",11040412.4683927,215976.02363971,4062381.40246004,0,"Republican","Florida"
"1227",49266058.5134223,94322063.0432731,5537982.3869742,10871034.6109743,"Republican","Florida"
"1228",22550415.4403799,18561912.4828885,2372147.64158554,1604425.48450478,"Republican","Florida"
"1302",3281752.2512392,534920.085630349,670188.11539916,0,"Democrat","Georgia"
"1304",50788270.8609943,23618.6934729851,7219055.78378594,0,"Democrat","Georgia"
"1305",97103945.6234789,291656790.738945,14458685.971806,43374680.3481211,"Democrat","Georgia"
"1306",34078102.8096933,643265.155396602,7677602.70788949,0,"Democrat","Georgia"
"1307",18269938.8366078,780005.104917614,2173798.44839813,0,"Republican","Georgia"
"1310",31684861.6718706,32167193.0813131,6943042.82372478,7715093.10197471,"Republican","Georgia"
"1311",14466702.1212513,827185.572001533,2369908.46132186,958881.869970622,"Republican","Georgia"
"1312",35017648.1689433,45652635.4726274,8004262.87329683,10618244.6072806,"Republican","Georgia"
"1501",27206757.9962649,32562898.6228487,47934.9677319628,0,"Democrat","Hawaii"
"1502",5759461.8503522,219958.799554896,7890.17406881842,0,"Democrat","Hawaii"
"1601",11850208.0143083,8268903.85319149,15866.2541298348,0,"Republican","Idaho"
"1602",5348163.17381833,5742777.1012766,27529.9464760644,0,"Republican","Idaho"
"1701",65977093.043475,148066425.758716,86768448.8731094,21376500.9878353,"Democrat","Illinois"
"1702",51447415.5823375,275695.568101623,67310794.9249042,0,"Democrat","Illinois"
"1704",30780119.9549059,436308.38470948,89413389.6386089,0,"Democrat","Illinois"
