"ORIGIN","DESTINATION","IDC_econ_loss"
"13123","13089",66244.0923767193
"13125","13089",9515.61224349219
"13127","13089",124289.836333762
"13129","13089",85372.8294253465
"13131","13089",120.721030971171
"13133","13089",120.721030971171
"13135","13089",31470717.5831059
"13135","42003",241564.110647995
"13135","48201",3641.70949839984
"13137","13089",123350.808515248
"13139","13089",742660.242613484
"13141","13089",181.982445710226
"13143","13089",47418.0588047736
"13145","13089",48402.2751256391
"13147","13089",104342.792497592
"13149","13089",10128.7281159968
"13151","13089",6075121.63511045
"13153","13089",190926.435829664
"13155","13089",68.3969716795338
"13157","13089",322537.427541528
"13159","13089",38016.032035312
"13163","13089",9560.80074584335
"13167","13089",9461.48638569361
"13169","13089",123447.747714689
"13171","13089",76107.596599244
"13173","13089",9447.21527181266
"13175","13089",85869.9846631121
"13177","13089",19128.7370486272
"13179","13089",76857.5064151077
"13181","13089",19121.6014916868
"13183","13089",18969.9630722454
"13185","13089",47680.9075375374
"13187","13089",28469.5024033496
"13189","13089",9787.97169390473
"13191","13089",28568.8167634994
"13193","13089",9454.35082875313
"13195","13089",123485.8006601
"13197","13089",113.585474030692
"13199","13089",38084.4290069915
"13201","13089",9447.21527181266
"13205","13089",14.2711138809578
"13207","13089",58060.5884331252
"13211","13089",363.964891420451
"13213","13089",19150.1437194487
"13215","13089",204334.87157867
"13217","13089",3457782.03097586
"13219","13089",142191.113201075
"13221","13089",28478.439758797
"13223","13089",801561.772941279
"13223","42003",148.093450046348
"13223","48201",15105.3790898321
"13225","13089",38628.5745456153
"13227","13089",331818.733280019
"13227","48201",5035.12636327737
"13229","13089",9582.20741666479
"13229","48201",3641.70949839984
"13231","13089",28803.1232685012
"13233","13089",66666.9435221705
"13235","13089",113.585474030692
"13237","13089",28462.3668464091
"13241","13089",28750.7992092096
"13243","13089",9674.38621987404
"13245","13089",258216.579304189
"13247","13089",3222343.41400911
"13247","42003",296.186900092697
"13249","13089",120.721030971171
"13251","13089",7.13555694047889
"13255","13089",437658.980323445
"13255","48201",10070.2527265548
"13257","13089",85448.3619539665
"13259","13089",9454.35082875313
"13261","13089",19121.6014916868
"13263","13089",7.13555694047889
"13265","13089",7.13555694047889
"13267","13089",9447.21527181266
"13271","13089",113.585474030692
"13273","13089",113.585474030692
"13275","13089",9567.93630278383
"13277","13089",9454.35082875313
"13279","13089",19015.1515745965
"13281","13089",37795.9966441911
"13285","13089",133273.772354005
"13287","13089",9560.80074584335
"13289","13089",9454.35082875313
"13291","13089",37788.8610872506
"13293","13089",19173.352188777
"13295","13089",28644.3492921194
"13297","13089",972442.981244075
"13299","13089",28476.6379602901
"13301","13089",9447.21527181266
"13303","13089",9447.21527181266
"13305","13089",19083.5485462761
"13309","13089",9560.80074584335
"13311","13089",104032.95346397
"13313","13089",57816.7712104746
"13313","42003",120782.055323997
"13317","13089",75.5325286200127
"13319","13089",28462.3668464091
"13321","13089",120.721030971171
"16001","42003",184.512451320502
"17001","13089",113.585474030692
"17023","13089",113.585474030692
"17029","42003",69.6277770950866
"17031","13089",179497.090164441
"17031","42003",993.661900500615
"17031","48201",5035.12636327737
"17043","42003",0.65820147499258
"17045","13089",113.585474030692
"17047","13089",9447.21527181266
"17055","13089",68.3969716795338
"17089","42003",0.0940287821417971
"17089","48201",45.9491458024287
"17097","42003",69.6277770950866
"17097","48201",25175.6318163868
"17111","42003",0.188057564283594
"17111","48201",45.9491458024287
"17113","48201",15105.3790898321
"17163","42003",148.093450046348
"17165","13089",9447.21527181266
"17167","13089",18894.4305436254
"17179","48201",5035.12636327737
"17183","42003",1621.46021223976
"17189","13089",9447.21527181266
"17197","48201",25175.6318163868
"17201","42003",844.792112951881
"17203","48201",5035.12636327737
"18003","13089",47236.0763590633
"18005","48201",20140.5054531095
"18011","13089",9447.21527181266
"18015","42003",0.0940287821417971
"18019","48201",5035.12636327737
"18021","13089",9447.21527181266
"18057","13089",56683.291630876
"18059","13089",18894.4305436254
"18063","42003",148.093450046348
"18091","42003",0.0940287821417971
"18093","48201",5035.12636327737
"18097","13089",66244.0923767193
"18097","42003",0.0940287821417971
"18105","42003",148.093450046348
"18107","42003",0.0940287821417971
"18107","48201",45.9491458024287
"18127","42003",0.0940287821417971
"18157","42003",0.0940287821417971
"18169","42003",0.0940287821417971
"19149","42003",148.093450046348
"19153","13089",37788.8610872506
"19181","13089",9447.21527181266
"20091","42003",12.8270327276424
"20091","48201",30210.7581796642
"21009","13089",9447.21527181266
"21015","13089",28341.645815438
"21015","42003",141.655155227317
"21017","42003",1621.46021223976
"21025","13089",9447.21527181266
"21037","13089",37788.8610872506
"21065","13089",9447.21527181266
"21067","13089",37788.8610872506
"21073","13089",18894.4305436254
"21073","42003",102.977373606171
"21093","13089",9447.21527181266
"21093","42003",0.0940287821417971
"21097","13089",18894.4305436254
"21111","13089",56683.291630876
"21111","42003",0.282086346425391
"21111","48201",7283.41899679967
"21117","42003",141.655155227317
"21141","13089",9447.21527181266
"21151","42003",1621.46021223976
"21163","13089",9447.21527181266
"21173","13089",18894.4305436254
"21185","13089",9447.21527181266
"21191","42003",141.655155227317
"21197","42003",1621.46021223976
"21209","13089",18894.4305436254
"21211","13089",9447.21527181266
"22001","48201",20186.4545989119
"22003","48201",45442.560799442
"22005","13089",19008.0160176561
"22005","48201",20232.4037447144
"22011","48201",45.9491458024287
"22015","48201",5035.12636327737
"22017","13089",18894.4305436254
"22017","48201",35245.8845429417
"22019","48201",42026.6653409774
"22027","48201",5053.64458225341
"22031","48201",5035.12636327737
"22033","13089",56683.291630876
"22033","48201",45556.6629740314
"22039","48201",5035.12636327737
"22043","48201",5035.12636327737
"22051","13089",113366.583261752
"22051","48201",70510.2873048594
"22053","48201",5035.12636327737
"22055","48201",30551.1115023452
"22061","48201",18.518218976037
"22063","48201",5202.27199518359
"22069","48201",18.518218976037
"22071","13089",103919.367989939
"22071","48201",50369.7818517497
"22073","48201",10070.2527265548
"22079","48201",99986.1233584237
"22081","48201",5035.12636327737
"22087","48201",10070.2527265548
"22089","48201",18.518218976037
"22097","48201",91.8982916048576
"22099","48201",10116.2018723572
"22101","48201",110.416510580895
"22103","13089",37788.8610872506
"22103","48201",25175.6318163868
"22105","13089",28341.645815438
"22105","48201",20159.0236720856
"22115","48201",45.9491458024287
"22117","48201",5035.12636327737
"22119","13089",18894.4305436254
"22121","13089",9447.21527181266
"22121","48201",5035.12636327737
"23005","48201",5035.12636327737
"23031","48201",5035.12636327737
"24001","42003",120851.683101092
"24003","13089",18894.4305436254
